forename,surname,number,code,driverId,lap,position,time,milliseconds
Max,Verstappen,33,VER,830,1,1,01:32.2,92198
Sergio,Pérez,11,PER,815,1,2,01:33.3,93251
Charles,Leclerc,16,LEC,844,1,3,01:34.2,94192
Lewis,Hamilton,44,HAM,1,1,4,01:34.9,94864
Carlos,Sainz,55,SAI,832,1,5,01:35.4,95436
Lando,Norris,4,NOR,846,1,6,01:35.9,95908
George,Russell,63,RUS,847,1,7,01:36.5,96506
Esteban,Ocon,31,OCO,839,1,8,01:37.0,96964
Sebastian,Vettel,5,VET,20,1,9,01:37.5,97455
Fernando,Alonso,14,ALO,4,1,10,01:38.2,98193
Yuki,Tsunoda,22,TSU,852,1,11,01:38.7,98738
Lance,Stroll,18,STR,840,1,12,01:39.2,99172
Mick,Schumacher,47,MSC,854,1,13,01:39.7,99723
Daniel,Ricciardo,3,RIC,817,1,14,01:40.2,100193
Guanyu,Zhou,24,ZHO,855,1,15,01:40.6,100564
Kevin,Magnussen,20,MAG,825,1,16,01:41.2,101200
Alexander,Albon,23,ALB,848,1,17,01:41.7,101738
Pierre,Gasly,10,GAS,842,1,18,01:42.1,102050
Nicholas,Latifi,6,LAT,849,1,19,01:42.5,102508
Valtteri,Bottas,77,BOT,822,1,20,01:43.0,102988
Max,Verstappen,33,VER,830,2,1,01:30.5,90541
Sergio,Pérez,11,PER,815,2,2,01:30.6,90579
Charles,Leclerc,16,LEC,844,2,3,01:31.0,90996
Lewis,Hamilton,44,HAM,1,2,4,01:31.1,91094
Carlos,Sainz,55,SAI,832,2,5,01:31.3,91332
Lando,Norris,4,NOR,846,2,6,01:31.7,91693
George,Russell,63,RUS,847,2,7,01:31.8,91786
Esteban,Ocon,31,OCO,839,2,8,01:32.1,92136
Sebastian,Vettel,5,VET,20,2,9,01:32.3,92324
Fernando,Alonso,14,ALO,4,2,10,01:32.3,92329
Yuki,Tsunoda,22,TSU,852,2,11,01:32.6,92551
Lance,Stroll,18,STR,840,2,12,01:32.6,92649
Daniel,Ricciardo,3,RIC,817,2,13,01:32.5,92513
Mick,Schumacher,47,MSC,854,2,14,01:33.7,93725
Guanyu,Zhou,24,ZHO,855,2,15,01:33.4,93406
Alexander,Albon,23,ALB,848,2,16,01:33.2,93227
Kevin,Magnussen,20,MAG,825,2,17,01:35.0,94950
Pierre,Gasly,10,GAS,842,2,18,01:34.6,94636
Nicholas,Latifi,6,LAT,849,2,19,01:34.8,94752
