delta,lap
-941.0,1
-417.0,2
-146.0,3
-288.0,4
-429.0,5
-452.0,6
-249.0,7
-220.0,8
188.0,9
-76.0,10
128.0,11
155.0,12
574.0,13
859.0,14
2699.0,15
20904.0,16
-1228.0,17
-1258.0,18
-1942.0,19
-1308.0,20
-2865.0,21
-19885.0,22
1284.0,23
462.0,24
345.0,25
-59.0,26
602.0,27
794.0,28
490.0,29
-69.0,30
268.0,31
543.0,32
2029.0,33
19293.0,34
-805.0,35
-944.0,36
-1165.0,37
-1259.0,38
-1824.0,39
-957.0,40
-864.0,41
-985.0,42
-553.0,43
-436.0,44
404.0,45
-786.0,46
-998.0,47
-485.0,48
-786.0,49
-483.0,50
-623.0,51
-755.0,52
-783.0,53
-943.0,54
-946.0,55
-587.0,56
-256.0,57
-644.0,58
