surname,lap,milliseconds,total_laptime
Leclerc,1,94192,94192
Leclerc,2,90996,185188
Leclerc,3,90418,275606
Leclerc,4,91167,366773
Leclerc,5,91356,458129
Leclerc,6,91087,549216
Leclerc,7,90861,640077
Leclerc,8,90886,730963
Leclerc,9,90783,821746
Leclerc,10,91147,912893
Leclerc,11,91039,1003932
Leclerc,12,91252,1095184
Leclerc,13,90920,1186104
Leclerc,14,91131,1277235
Leclerc,15,91731,1368966
Leclerc,16,91237,1460203
Leclerc,17,91454,1551657
Leclerc,18,91443,1643100
Leclerc,19,91740,1734840
Leclerc,20,91891,1826731
Leclerc,21,93538,1920269
Leclerc,22,111201,2031470
Leclerc,23,89886,2121356
Leclerc,24,90465,2211821
Leclerc,25,90488,2302309
Leclerc,26,90421,2392730
Leclerc,27,90095,2482825
Leclerc,28,89744,2572569
Leclerc,29,89980,2662549
Leclerc,30,90103,2752652
Leclerc,31,89874,2842526
Leclerc,32,89795,2932321
Leclerc,33,90270,3022591
Leclerc,34,90170,3112761
Leclerc,35,90017,3202778
Leclerc,36,90143,3292921
Leclerc,37,90230,3383151
Leclerc,38,90412,3473563
Leclerc,39,91295,3564858
Leclerc,40,90312,3655170
Leclerc,41,90056,3745226
Leclerc,42,90135,3835361
Leclerc,43,89813,3925174
Leclerc,44,89958,4015132
Leclerc,45,89853,4104985
Leclerc,46,90159,4195144
Leclerc,47,90215,4285359
Leclerc,48,89719,4375078
Leclerc,49,89875,4464953
Leclerc,50,89736,4554689
Leclerc,51,89782,4644471
Leclerc,52,89727,4734198
Leclerc,53,89879,4824077
Leclerc,54,90095,4914172
Leclerc,55,90151,5004323
Leclerc,56,90033,5094356
Leclerc,57,89829,5184185
Leclerc,58,90500,5274685
