lap,perez_racetime,hamilton_laptime
1,93251,94864
2,183830,185958
3,274102,276399
4,364981,369241
5,455908,459587
6,546543,550921
7,637155,642453
8,727821,735193
9,818792,827460
10,909863,919575
11,1001030,1011501
12,1092437,1103524
13,1183931,1195179
14,1275921,1287065
15,1370351,1378905
16,1482492,1470974
17,1572718,1563390
18,1662903,1658028
19,1752701,1768914
20,1843284,1859437
21,1933957,1950101
22,2025273,2040895
23,2116443,2130945
24,2207370,2221584
25,2298203,2311731
26,2388565,2402101
27,2479262,2492183
28,2569800,2582351
29,2660270,2672464
30,2750304,2762697
31,2840446,2852647
32,2930784,2942788
33,3023083,3032753
34,3132546,3122912
35,3221758,3212998
36,3310957,3303230
37,3400022,3393184
38,3489175,3483461
39,3578646,3573792
40,3668001,3664078
41,3757193,3754084
42,3846343,3843872
43,3935603,3934128
44,4025125,4024463
45,4115382,4114647
46,4204755,4205825
47,4293972,4296183
48,4383206,4386327
49,4472295,4476610
50,4561548,4566787
51,4650707,4657242
52,4739679,4747617
53,4828775,4838441
54,4917927,4929402
55,5007132,5056987
