forename,surname,number,code,driverId,lap,position,time,milliseconds
Alexander,Albon,23,ALB,848,1,17,1:41.738,101738
Alexander,Albon,23,ALB,848,2,16,1:33.227,93227
Alexander,Albon,23,ALB,848,3,16,1:32.356,92356
Alexander,Albon,23,ALB,848,4,16,1:33.137,93137
Alexander,Albon,23,ALB,848,5,15,1:32.652,92652
Alexander,Albon,23,ALB,848,6,15,1:32.302,92302
Alexander,Albon,23,ALB,848,7,15,1:31.987,91987
Alexander,Albon,23,ALB,848,8,15,1:32.303,92303
Alexander,Albon,23,ALB,848,9,15,1:32.406,92406
Alexander,Albon,23,ALB,848,10,15,1:32.550,92550
Alexander,Albon,23,ALB,848,11,15,1:33.387,93387
Alexander,Albon,23,ALB,848,12,16,1:35.463,95463
Alexander,Albon,23,ALB,848,13,20,1:51.113,111113
Alexander,Albon,23,ALB,848,14,20,1:30.982,90982
Alexander,Albon,23,ALB,848,15,18,1:31.430,91430
Alexander,Albon,23,ALB,848,16,16,1:31.585,91585
Alexander,Albon,23,ALB,848,17,16,1:31.496,91496
Alexander,Albon,23,ALB,848,18,16,1:31.836,91836
Alexander,Albon,23,ALB,848,19,16,1:31.691,91691
Alexander,Albon,23,ALB,848,20,15,1:31.835,91835
Alexander,Albon,23,ALB,848,21,15,1:31.929,91929
Alexander,Albon,23,ALB,848,22,15,1:31.975,91975
Alexander,Albon,23,ALB,848,23,14,1:31.717,91717
Alexander,Albon,23,ALB,848,24,14,1:31.918,91918
Alexander,Albon,23,ALB,848,25,13,1:31.610,91610
Alexander,Albon,23,ALB,848,26,12,1:31.631,91631
Alexander,Albon,23,ALB,848,27,12,1:31.624,91624
Alexander,Albon,23,ALB,848,28,11,1:31.521,91521
Alexander,Albon,23,ALB,848,29,11,1:31.487,91487
Alexander,Albon,23,ALB,848,30,11,1:31.451,91451
Alexander,Albon,23,ALB,848,31,11,1:31.587,91587
Alexander,Albon,23,ALB,848,32,11,1:31.496,91496
Alexander,Albon,23,ALB,848,33,11,1:31.550,91550
Alexander,Albon,23,ALB,848,34,11,1:31.509,91509
Alexander,Albon,23,ALB,848,35,12,1:34.033,94033
Alexander,Albon,23,ALB,848,36,15,1:51.369,111369
Alexander,Albon,23,ALB,848,37,15,1:30.090,90090
Alexander,Albon,23,ALB,848,38,15,1:29.974,89974
Alexander,Albon,23,ALB,848,39,15,1:30.023,90023
Alexander,Albon,23,ALB,848,40,15,1:29.939,89939
Alexander,Albon,23,ALB,848,41,15,1:30.139,90139
Alexander,Albon,23,ALB,848,42,15,1:30.378,90378
Alexander,Albon,23,ALB,848,43,15,1:30.241,90241
Alexander,Albon,23,ALB,848,44,15,1:30.218,90218
Alexander,Albon,23,ALB,848,45,14,1:30.760,90760
Alexander,Albon,23,ALB,848,46,13,1:30.896,90896
Alexander,Albon,23,ALB,848,47,13,1:30.976,90976
Alexander,Albon,23,ALB,848,48,13,1:31.124,91124
Alexander,Albon,23,ALB,848,49,13,1:31.795,91795
Alexander,Albon,23,ALB,848,50,13,1:31.925,91925
Alexander,Albon,23,ALB,848,51,13,1:32.564,92564
Alexander,Albon,23,ALB,848,52,13,1:33.467,93467
Alexander,Albon,23,ALB,848,53,13,1:32.523,92523
Alexander,Albon,23,ALB,848,54,13,1:32.825,92825
Alexander,Albon,23,ALB,848,55,13,1:35.096,95096
Alexander,Albon,23,ALB,848,56,12,1:33.126,93126
Alexander,Albon,23,ALB,848,57,13,1:33.882,93882
Fernando,Alonso,14,ALO,4,1,10,1:38.193,98193
Fernando,Alonso,14,ALO,4,2,10,1:32.329,92329
Fernando,Alonso,14,ALO,4,3,10,1:31.539,91539
